Time (Days),Gas Volume,Oil Volume,Water Volume ,Gas Production,Oil Production
2/22/00,5.4836,0,75,320.07626,0
2/23/00,4.72465,0,78,324.80091,0
2/24/00,4.41254,0,75,329.21345,0
2/25/00,4.13652,0,105,333.34997,0
2/26/00,4.01115,0,105,337.36112,0
2/27/00,4.96948,0,112.01,342.3306,0
2/28/00,4.95719,0,88,347.28779,0
2/29/00,4.64803,0,130,351.93582,0
3/1/00,3.48629,0,129,355.42211,0
3/2/00,3.70481,0,94,359.12692,0
3/3/00,4.5742,0,140,363.70112,0
3/4/00,2.98917,0,60,366.69029,0
3/5/00,1.77793,0,30,368.46822,0
3/6/00,5.08701,0,90,373.55523,0
3/7/00,4.63664,0,88,378.19187,0
3/8/00,4.40089,0,123,382.59276,0
3/9/00,4.23366,0,124,386.82642,0
3/10/00,4.19318,0,116,391.0196,0
3/11/00,4.00177,0,112,395.02137,0
3/12/00,3.90826,0,98,398.92963,0
3/13/00,4.09975,0,135,403.02938,0
3/14/00,4.03101,0,113,407.06039,0
3/15/00,3.86683,0,115,410.92722,0
3/16/00,3.81966,0,123,414.74688,0
3/17/00,3.74103,0,100,418.48791,0
3/18/00,3.5766,0,88,422.06451,0
3/19/00,3.68252,0,80,425.74703,0
3/20/00,3.63077,0,90,429.3778,0
3/21/00,3.66918,0,94,433.04698,0
3/22/00,3.60179,0,100,436.64877,0
3/23/00,2.78073,0,60,439.4295,0
3/24/00,2.8226,0,39,442.2521,0
3/25/00,3.75635,0,95,446.00845,0
3/26/00,3.61585,0,108,449.6243,0
3/27/00,3.469,0,97,453.0933,0
3/28/00,3.49578,0,93,456.58908,0
3/29/00,3.4794,0,100,460.06848,0
3/30/00,3.45195,0,90,463.52043,0
3/31/00,3.11347,0,62,466.6339,0
4/1/00,3.54697,0,55,470.18087,0
4/2/00,3.22652,0,76,473.40739,0
4/3/00,3.38008,0,92,476.78747,0
4/4/00,3.25398,0,80,480.04145,0
4/5/00,3.22071,0,82,483.26216,0
4/6/00,3.22774,0,95,486.4899,0
4/7/00,3.26071,0,70,489.75061,0
4/8/00,3.15949,0,80,492.9101,0
4/9/00,3.23569,0,80,496.14579,0
4/10/00,3.16313,0,83,499.30892,0
4/11/00,3.05771,0,76,502.36663,0
4/12/00,3.1255,0,0,505.49213,0
4/13/00,2.26561,0,20,507.75774,0
4/14/00,4.38821,0,80,512.14595,0
4/15/00,3.39063,0,82,515.53658,0
4/16/00,3.13587,0,72,518.67245,0
4/17/00,3.20717,0,76,521.87962,0
4/18/00,3.14955,0,82,525.02917,0
4/19/00,2.80368,0,67,527.83285,0
4/20/00,2.96689,0,88,530.79974,0
4/21/00,2.97111,0,82,533.77085,0
4/22/00,2.94531,0,80,536.71616,0
4/23/00,2.89097,0,59,539.60713,0
4/24/00,2.94565,0,72,542.55278,0
4/25/00,2.89513,0,74,545.44791,0
4/26/00,2.90388,0,67,548.35179,0
4/27/00,2.92619,0,72,551.27798,0
4/28/00,2.89087,0,70,554.16885,0
4/29/00,2.82346,0,73,556.99231,0
4/30/00,2.88685,0,73,559.87916,0
5/2/00,2.83256,0,60,562.71172,0
5/3/00,2.80814,0,72,565.51986,0
5/4/00,2.79244,0,57,568.3123,0
5/5/00,2.71039,0,65,571.02269,0
5/6/00,2.74978,0,63,573.77247,0
5/7/00,2.37476,0,42,576.14723,0
5/8/00,2.052,0,30,578.19923,0
5/9/00,2.969,0,75,581.16823,0
5/10/00,2.714,0,65,583.88223,0
5/11/00,2.658,0,67,586.54023,0
5/12/00,2.65797,0,60,589.1982,0
5/13/00,2.58363,0,55,591.78183,0
5/14/00,2.60326,0,53,594.38509,0
5/15/00,2.562,0,65,596.94709,0
5/16/00,2.481,0,67,599.42809,0
5/17/00,2.459,0,55,601.88709,0
5/18/00,2.61597,0,60,604.50306,0
5/19/00,2.56808,0,60,607.07114,0
5/20/00,2.50234,0,57,609.57348,0
5/21/00,2.24599,0,55,611.81947,0
5/22/00,2.557,0,53,614.37647,0
5/23/00,2.50554,0,47,616.88201,0
5/24/00,2.50439,0,60,619.3864,0
5/25/00,2.49518,0,65,621.88158,0
5/26/00,2.49252,0,60,624.3741,0
5/27/00,2.44764,0,55,626.82174,0
5/28/00,2.45525,0,57,629.27699,0
5/29/00,2.46295,0,60,631.73994,0
5/30/00,2.46386,0,62,634.2038,0
5/31/00,2.45532,0,48,636.65912,0
6/1/00,2.40004,0,58,639.05916,0
6/2/00,2.38388,0,55,641.44304,0
6/3/00,2.3929,0,53,643.83594,0
6/4/00,2.34798,0,49,646.18392,0
6/5/00,2.35435,0,50,648.53827,0
6/6/00,2.39565,0,60,650.93392,0
6/7/00,2.36716,0,68,653.30108,0
6/8/00,2.32551,0,52,655.62659,0
6/9/00,2.31133,0,53,657.93792,0
6/10/00,2.30888,0,55,660.2468,0
6/11/00,2.30737,0,60,662.55417,0
6/12/00,2.29614,0,64,664.85031,0
6/13/00,2.28378,0,55,667.13409,0
6/14/00,2.24223,0,50,669.37632,0
6/15/00,2.17232,0,42,671.54864,0
6/16/00,1.99403,0,40,673.54267,0
6/17/00,2.27535,0,64,675.81802,0
6/18/00,2.33832,0,58,678.15634,0
6/19/00,2.28902,0,59,680.44536,0
6/20/00,2.25082,0,60,682.69618,0
6/21/00,2.24309,0,55,684.93927,0
6/22/00,2.26146,0,58,687.20073,0
6/23/00,2.2427,0,53,689.44343,0
6/24/00,2.15477,0,53,691.5982,0
6/25/00,2.13827,0,44,693.73647,0
6/26/00,2.16717,0,50,695.90364,0
6/27/00,2.16476,0,53,698.0684,0
6/28/00,2.19329,0,50,700.26169,0
6/29/00,2.15006,0,50,702.41175,0
6/30/00,2.14171,0,47,704.55346,0
7/1/00,2.18754,0,49,706.741,0
7/2/00,2.17049,0,48,708.91149,0
7/3/00,2.12801,0,0,711.0395,0
7/4/00,2.10645,0,43,713.14595,0
7/5/00,2.11586,0,44,715.26181,0
7/6/00,2.08846,0,47,717.35027,0
7/7/00,2.05891,0,43,719.40918,0
7/8/00,2.06889,0,47,721.47807,0
7/9/00,2.0953,0,48,723.57337,0
7/10/00,2.09935,0,50,725.67272,0
7/11/00,2.07873,0,44,727.75145,0
7/12/00,1.97861,0,47,729.73006,0
7/13/00,1.99015,0,40,731.72021,0
7/14/00,2.0513,0,42,733.77151,0
7/15/00,2.05211,0,35,735.82362,0
7/16/00,1.58646,0,17,737.41008,0
7/17/00,2.13043,0,38,739.54051,0
7/18/00,2.00863,0,43,741.54914,0
7/19/00,1.98116,0,42,743.5303,0
7/20/00,1.95761,0,40,745.48791,0
7/21/00,1.94201,0,42,747.42992,0
7/22/00,1.9463,0,42,749.37622,0
7/23/00,1.92495,0,40,751.30117,0
7/24/00,1.90016,0,40,753.20133,0
7/25/00,1.89204,0,40,755.09337,0
7/26/00,1.90857,0,40,757.00194,0
7/27/00,1.94541,0,35,758.94735,0
7/28/00,1.92466,0,42,760.87201,0
7/29/00,1.91151,0,44,762.78352,0
7/30/00,1.907,0,43,764.69052,0
7/31/00,1.87338,0,40,766.5639,0
8/1/00,1.86,0,40,768.4239,0
8/2/00,1.88225,0,39,770.30615,0
8/3/00,1.82522,0,39,772.13137,0
8/4/00,1.84551,0,35,773.97688,0
8/5/00,1.79181,0,38,775.76869,0
8/6/00,1.86132,0,34,777.63001,0
8/7/00,1.86125,0,40,779.49126,0
8/8/00,1.82502,0,41,781.31628,0
8/9/00,1.82502,0,38,783.1413,0
8/10/00,1.81899,0,40,784.96029,0
8/11/00,1.40745,0,12,786.36774,0
8/12/00,1.40226,0,20,787.77,0
8/13/00,2.14815,0,41,789.91815,0
8/14/00,1.88675,0,42,791.8049,0
8/15/00,1.30668,0,42,793.11158,0
8/16/00,0.11067,0,0,793.22225,0
8/17/00,2.56028,0,29,795.78253,0
8/18/00,2.17452,0,35,797.95705,0
8/19/00,1.71777,0,35,799.67482,0
8/20/00,1.89574,0,36,801.57056,0
8/21/00,0.85113,0,13,802.42169,0
8/22/00,2.38948,0,33,804.81117,0
8/23/00,1.93684,0,40,806.74801,0
8/24/00,1.85936,0,40,808.60737,0
8/25/00,1.83238,0,37,810.43975,0
8/26/00,1.84132,0,40,812.28107,0
8/27/00,1.85501,0,39,814.13608,0
8/28/00,1.84672,0,41,815.9828,0
8/29/00,1.82855,0,40,817.81135,0
8/30/00,1.82264,0,39,819.63399,0
8/31/00,1.81478,0,40,821.44877,0
9/1/00,1.79224,0,42,823.24101,0
9/2/00,1.78772,0,40,825.02873,0
9/3/00,1.77109,0,37,826.79982,0
9/4/00,1.69024,0,28,828.49006,0
9/5/00,1.50434,0,20,829.9944,0
9/6/00,1.83293,0,38,831.82733,0
9/7/00,1.77311,0,38,833.60044,0
9/8/00,1.75759,0,32,835.35803,0
9/9/00,1.73688,0,38,837.09491,0
9/10/00,1.75334,0,39,838.84825,0
9/11/00,1.71394,0,37,840.56219,0
9/12/00,1.71865,0,39,842.28084,0
9/13/00,1.70302,0,36,843.98386,0
9/14/00,1.68848,0,34,845.67234,0
9/15/00,1.69184,0,35,847.36418,0
9/16/00,1.22198,0,13,848.58616,0
9/17/00,1.69973,0,19,850.28589,0
9/18/00,1.63609,0,33,851.92198,0
9/19/00,1.66473,0,36,853.58671,0
9/20/00,1.64345,0,32,855.23016,0
9/21/00,1.61048,0,33,856.84064,0
9/22/00,1.58548,0,39,858.42612,0
9/23/00,1.59646,0,30,860.02258,0
9/24/00,1.62245,0,23,861.64503,0
9/25/00,1.61346,0,35,863.25849,0
9/26/00,1.62626,0,30,864.88475,0
9/27/00,1.615,0,34,866.49975,0
9/28/00,1.60402,0,28,868.10377,0
9/29/00,1.59956,0,33,869.70333,0
9/30/00,1.58951,0,30,871.29284,0
10/1/00,1.5011,0,24,872.79394,0
10/2/00,1.50162,0,27,874.29556,0
10/3/00,1.51548,0,25,875.81104,0
10/4/00,1.5253,0,27,877.33634,0
10/5/00,1.52573,0,30,878.86207,0
10/6/00,1.52369,0,24,880.38576,0
10/7/00,1.55174,0,28,881.9375,0
10/8/00,1.56574,0,30,883.50324,0
10/9/00,1.28548,0,20,884.78872,0
10/10/00,1.44578,0,20,886.2345,0
10/11/00,1.42017,0,18,887.65467,0
10/12/00,1.41787,0,24,889.07254,0
10/13/00,1.35706,0,22,890.4296,0
10/14/00,1.40398,0,25,891.83358,0
10/15/00,1.42747,0,23,893.26105,0
10/16/00,1.42684,0,25,894.68789,0
10/17/00,1.38711,0,21,896.075,0
10/18/00,1.39825,0,20,897.47325,0
10/19/00,1.41767,0,20,898.89092,0
10/20/00,1.48415,0,20,900.37507,0
10/21/00,1.31685,0,21,901.69192,0
10/22/00,1.73742,0,20,903.42934,0
10/23/00,1.82222,0,41,905.25156,0
10/24/00,1.73082,0,38,906.98238,0
10/25/00,1.70908,0,38,908.69146,0
10/26/00,1.27066,0,16,909.96212,0
10/27/00,1.50548,0,12,911.4676,0
10/28/00,1.61019,0,18,913.07779,0
10/29/00,1.33419,0,27,914.41198,0
10/30/00,1.5002,0,45,915.91218,0
10/31/00,1.56978,0,40,917.48196,0
11/1/00,1.51464,0,34,918.9966,0
11/2/00,1.48957,0,30,920.48617,0
11/3/00,1.46503,0,31,921.9512,0
11/4/00,1.43917,0,30,923.39037,0
11/5/00,1.43728,0,29,924.82765,0
11/6/00,1.43495,0,28,926.2626,0
11/7/00,1.42343,0,33,927.68603,0
11/8/00,1.41612,0,31,929.10215,0
11/9/00,1.41806,0,28,930.52021,0
11/10/00,1.39674,0,30,931.91695,0
11/11/00,1.40861,0,27,933.32556,0
11/12/00,1.39316,0,27,934.71872,0
11/13/00,1.37649,0,26,936.09521,0
11/14/00,1.30635,0,20,937.40156,0
11/15/00,1.30486,0,21,938.70642,0
11/16/00,1.32429,0,23,940.03071,0
11/17/00,1.32906,0,25,941.35977,0
11/18/00,1.36016,0,28,942.71993,0
11/19/00,1.331,0,24,944.05093,0
11/20/00,1.29288,0,24,945.34381,0
11/21/00,1.31152,0,24,946.65533,0
11/22/00,1.32405,0,24,947.97938,0
11/23/00,1.33598,0,28,949.31536,0
11/24/00,1.32553,0,24,950.64089,0
11/25/00,1.32,0,25,951.96089,0
11/26/00,1.32674,0,25,953.28763,0
11/27/00,1.3161,0,27,954.60373,0
11/28/00,1.3098,0,27,955.91353,0
11/29/00,1.32067,0,25,957.2342,0
11/30/00,1.32958,0,25,958.56378,0
12/1/00,1.31521,0,23,959.87899,0
12/2/00,1.32369,0,28,961.20268,0
12/3/00,1.30332,0,29,962.506,0
12/4/00,1.32455,0,27,963.83055,0
12/5/00,1.21596,0,27,965.04651,0
12/6/00,1.22089,0,26,966.2674,0
12/7/00,1.27464,0,24,967.54204,0
12/8/00,1.29985,0,24,968.84189,0
12/9/00,1.31249,0,30,970.15438,0
12/10/00,1.19486,0,15,971.34924,0
12/11/00,1.24526,0,24,972.5945,0
12/12/00,1.31306,0,24,973.90756,0
12/13/00,1.27836,0,28,975.18592,0
12/14/00,1.39344,0,38,976.57936,0
12/15/00,1.36447,0,31,977.94383,0
12/16/00,1.39247,0,33,979.3363,0
12/17/00,0.94244,0,13,980.27874,0
12/18/00,1.19276,0,15,981.4715,0
12/19/00,1.33082,0,20,982.80232,0
12/20/00,1.26556,0,24,984.06788,0
12/21/00,1.3083,0,31,985.37618,0
12/22/00,1.29586,0,27,986.67204,0
12/23/00,1.29132,0,27,987.96336,0
12/24/00,1.30924,0,31,989.2726,0
12/25/00,1.37382,0,33,990.64642,0
12/26/00,1.22538,0,31,991.8718,0
12/27/00,1.25074,0,32,993.12254,0
12/28/00,1.25548,0,27,994.37802,0
12/29/00,1.24586,0,25,995.62388,0
12/30/00,1.25171,0,24,996.87559,0
12/31/00,1.25376,0,28,998.12935,0
1/1/01,1.26996,0,28,999.39931,0
1/2/01,1.28054,0,27,1000.67985,0
1/3/01,1.31566,0,31,1001.99551,0
1/4/01,1.26483,0,25,1003.26034,0
1/5/01,1.20936,0,23,1004.4697,0
1/6/01,1.17212,0,21,1005.64182,0
1/7/01,0.81498,0,13,1006.4568,0
1/8/01,0.80482,0,8,1007.26162,0
1/9/01,1.38857,0,20,1008.65019,0
1/10/01,1.21593,0,22,1009.86612,0
1/11/01,1.1972,0,24,1011.06332,0
1/12/01,1.31087,0,35,1012.37419,0
1/13/01,1.28453,0,30,1013.65872,0
1/14/01,1.23877,0,28,1014.89749,0
1/15/01,1.2332,0,26,1016.13069,0
1/16/01,1.21325,0,25,1017.34394,0
1/17/01,1.20501,0,28,1018.54895,0
1/18/01,1.19078,0,24,1019.73973,0
1/19/01,1.22846,0,28,1020.96819,0
1/20/01,1.198,0,43,1022.16619,0
1/21/01,1.16273,0,28,1023.32892,0
1/22/01,1.18311,0,28,1024.51203,0
1/23/01,1.21144,0,27,1025.72347,0
1/24/01,1.18515,0,27,1026.90862,0
1/25/01,1.16438,0,30,1028.073,0
1/26/01,1.15988,0,25,1029.23288,0
1/27/01,1.17867,0,21,1030.41155,0
1/28/01,1.29145,0,32,1031.703,0
1/29/01,1.03959,0,28,1032.74259,0
1/30/01,0.84342,0,28,1033.58601,0
1/31/01,1.25655,0,33,1034.84256,0
2/1/01,1.25894,0,28,1036.1015,0
2/2/01,1.19509,0,30,1037.29659,0
2/3/01,1.14767,0,27,1038.44426,0
2/4/01,1.16356,0,28,1039.60782,0
2/5/01,0.83175,0,15,1040.43957,0
2/6/01,1.23396,0,20,1041.67353,0
2/7/01,1.26809,0,32,1042.94162,0
2/8/01,1.21443,0,32,1044.15605,0
2/9/01,1.17523,0,27,1045.33128,0
2/10/01,1.17263,0,28,1046.50391,0
2/11/01,1.13443,0,20,1047.63834,0
2/12/01,1.18867,0,32,1048.82701,0
2/13/01,1.15042,0,25,1049.97743,0
2/14/01,1.14729,0,25,1051.12472,0
2/15/01,1.14704,0,30,1052.27176,0
2/16/01,1.1549,0,26,1053.42666,0
2/17/01,1.15546,0,27,1054.58212,0
2/18/01,1.16963,0,25,1055.75175,0
2/19/01,1.14484,0,30,1056.89659,0
2/20/01,1.12989,0,24,1058.02648,0
2/21/01,1.1401,0,25,1059.16658,0
2/22/01,1.14027,0,25,1060.30685,0
2/23/01,1.14683,0,25,1061.45368,0
2/24/01,0.92797,0,13,1062.38165,0
2/25/01,0.50247,0,3,1062.88412,0
2/26/01,0.55636,0,10,1063.44048,0
2/27/01,1.29954,0,13,1064.74002,0
2/28/01,1.37174,0,28,1066.11176,0
3/1/01,1.09557,0,20,1067.20733,0
3/2/01,1.1409,0,28,1068.34823,0
3/3/01,1.18777,0,28,1069.536,0
3/4/01,1.16252,0,25,1070.69852,0
3/5/01,1.11444,0,27,1071.81296,0
3/6/01,1.08976,0,27,1072.90272,0
3/7/01,1.12556,0,24,1074.02828,0
3/8/01,1.13328,0,24,1075.16156,0
3/9/01,1.14867,0,26,1076.31023,0
3/10/01,1.1263,0,25,1077.43653,0
3/11/01,1.09693,0,24,1078.53346,0
3/12/01,1.0949,0,25,1079.62836,0
3/13/01,1.10374,0,29,1080.7321,0
3/14/01,1.12062,0,25,1081.85272,0
3/15/01,1.09272,0,23,1082.94544,0
3/16/01,1.10104,0,30,1084.04648,0
3/17/01,1.07124,0,22,1085.11772,0
3/18/01,1.16363,0,35,1086.28135,0
3/19/01,1.11879,0,36,1087.40014,0
3/20/01,1.08984,0,33,1088.48998,0
3/21/01,1.08884,0,34,1089.57882,0
3/22/01,1.08382,0,28,1090.66264,0
3/23/01,1.14349,0,29,1091.80613,0
3/24/01,1.04345,0,22,1092.84958,0
3/25/01,1.02455,0,20,1093.87413,0
3/26/01,0.8888,0,20,1094.76293,0
3/27/01,1.09741,0,22,1095.86034,0
3/28/01,1.04987,0,20,1096.91021,0
3/29/01,1.07409,0,25,1097.9843,0
3/30/01,1.06224,0,32,1099.04654,0
3/31/01,1.04992,0,22,1100.09646,0
4/1/01,1.05507,0,22,1101.15153,0
4/2/01,1.04735,0,27,1102.19888,0
4/3/01,1.04841,0,22,1103.24729,0
4/4/01,1.0099,0,28,1104.25719,0
4/5/01,1.02442,0,27,1105.28161,0
4/6/01,1.02561,0,22,1106.30722,0
4/7/01,1.0348,0,24,1107.34202,0
4/8/01,1.02301,0,21,1108.36503,0
4/9/01,0.91441,0,20,1109.27944,0
4/10/01,1.07563,0,20,1110.35507,0
4/11/01,1.04461,0,20,1111.39968,0
4/12/01,1.04369,0,24,1112.44337,0
4/13/01,1.0477,0,20,1113.49107,0
4/14/01,1.01009,0,29,1114.50116,0
4/15/01,1.02858,0,25,1115.52974,0
4/16/01,1.02192,0,35,1116.55166,0
4/17/01,1.01181,0,22,1117.56347,0
4/18/01,1.02364,0,20,1118.58711,0
4/19/01,1.01048,0,24,1119.59759,0
4/20/01,1.01232,0,25,1120.60991,0
4/21/01,0.99839,0,26,1121.6083,0
4/22/01,1.0037,0,25,1122.612,0
4/23/01,1.01218,0,27,1123.62418,0
4/24/01,1.0233,0,24,1124.64748,0
4/25/01,1.00776,0,25,1125.65524,0
4/26/01,0.9879,0,22,1126.64314,0
4/27/01,0.99009,0,20,1127.63323,0
4/28/01,0.97778,0,15,1128.61101,0
4/29/01,1.00006,0,20,1129.61107,0
4/30/01,0.98797,0,21,1130.59904,0
5/1/01,0.96934,0,20,1131.56838,0
5/2/01,0.94272,0,22,1132.5111,0
5/3/01,0.98683,0,20,1133.49793,0
5/4/01,1.03082,0,27,1134.52875,0
5/5/01,1.15148,0,28,1135.68023,0
5/6/01,1.09182,0,33,1136.77205,0
5/7/01,1.10874,0,33,1137.88079,0
5/8/01,1.09895,0,27,1138.97974,0
5/9/01,1.06801,0,35,1140.04775,0
5/10/01,1.0578,0,30,1141.10555,0
5/11/01,1.05642,0,27,1142.16197,0
5/12/01,0.93223,0,22,1143.0942,0
5/13/01,1.04907,0,20,1144.14327,0
5/14/01,1.04405,0,25,1145.18732,0
5/15/01,1.04038,0,27,1146.2277,0
5/16/01,1.02299,0,28,1147.25069,0
5/17/01,0.99408,0,24,1148.24477,0
5/18/01,1.02784,0,25,1149.27261,0
5/19/01,1.00767,0,26,1150.28028,0
5/20/01,0.99723,0,25,1151.27751,0
5/21/01,1.01068,0,26,1152.28819,0
5/22/01,1.00219,0,31,1153.29038,0
5/23/01,0.98532,0,30,1154.2757,0
5/24/01,0.98335,0,29,1155.25905,0
5/25/01,0.99038,0,25,1156.24943,0
5/26/01,0.96628,0,27,1157.21571,0
5/27/01,0.99564,0,25,1158.21135,0
5/28/01,0.99753,0,28,1159.20888,0
5/29/01,0.97691,0,22,1160.18579,0
5/30/01,0.98905,0,23,1161.17484,0
5/31/01,0.96918,0,25,1162.14402,0
6/1/01,1.00205,0,22,1163.14607,0
6/2/01,0.98322,0,28,1164.12929,0
6/3/01,0.98283,0,24,1165.11212,0
6/4/01,0.96092,0,22,1166.07304,0
6/5/01,0.95677,0,29,1167.02981,0
6/6/01,0.9454,0,22,1167.97521,0
6/7/01,0.89851,0,24,1168.87372,0
6/8/01,0.94326,0,20,1169.81698,0
6/9/01,0.93463,0,32,1170.75161,0
6/10/01,0.93004,0,31,1171.68165,0
6/11/01,0.92915,0,21,1172.6108,0
6/12/01,0.93591,0,25,1173.54671,0
6/13/01,0.93049,0,23,1174.4772,0
6/14/01,0.94744,0,24,1175.42464,0
6/15/01,0.96577,0,24,1176.39041,0
6/16/01,0.91527,0,22,1177.30568,0
6/17/01,0.93914,0,24,1178.24482,0
6/18/01,0.92404,0,22,1179.16886,0
6/19/01,0.931,0,22,1180.09986,0
6/20/01,0.83992,0,20,1180.93978,0
6/21/01,0.53267,0,10,1181.47245,0
6/23/01,0.90617,0,3,1182.37862,0
6/24/01,1.26465,0,10,1183.64327,0
6/25/01,0.86091,0,10,1184.50418,0
6/26/01,0.82307,0,12,1185.32725,0
6/27/01,0.81416,0,15,1186.14141,0
6/28/01,0.83723,0,18,1186.97864,0
6/29/01,0.85383,0,18,1187.83247,0
6/30/01,0.8282,0,18,1188.66067,0
7/1/01,0.86563,0,20,1189.5263,0
7/2/01,0.79308,0,21,1190.31938,0
7/3/01,0.78776,0,11,1191.10714,0
7/4/01,0.79304,0,15,1191.90018,0
7/5/01,0.82157,0,14,1192.72175,0
7/6/01,0.84728,0,18,1193.56903,0
7/7/01,0.82713,0,15,1194.39616,0
7/8/01,0.80692,0,13,1195.20308,0
7/9/01,0.83409,0,19,1196.03717,0
7/10/01,0.82036,0,18,1196.85753,0
7/11/01,0.77991,0,18,1197.63744,0
7/12/01,0.82663,0,14,1198.46407,0
7/13/01,0.85851,0,18,1199.32258,0
7/14/01,0.80996,0,18,1200.13254,0
7/15/01,0.83724,0,18,1200.96978,0
7/16/01,0.81154,0,17,1201.78132,0
7/17/01,0.81639,0,15,1202.59771,0
7/18/01,0.83482,0,22,1203.43253,0
7/19/01,0.84434,0,18,1204.27687,0
7/20/01,0.82449,0,18,1205.10136,0
7/21/01,0.81959,0,17,1205.92095,0
7/22/01,0.82095,0,16,1206.7419,0
7/23/01,0.87236,0,18,1207.61426,0
7/24/01,0.695,0,9,1208.30926,0
7/25/01,0.91989,0,15,1209.22915,0
7/26/01,0.85231,0,18,1210.08146,0
7/27/01,0.84245,0,20,1210.92391,0
7/28/01,0.83891,0,18,1211.76282,0
7/29/01,0.82182,0,20,1212.58464,0
7/30/01,0.83158,0,20,1213.41622,0
7/31/01,0.82184,0,18,1214.23806,0
8/1/01,0.80766,0,18,1215.04572,0
8/2/01,0.81149,0,18,1215.85721,0
8/3/01,0.80932,0,20,1216.66653,0
8/4/01,0.81321,0,18,1217.47974,0
8/5/01,0.83037,0,20,1218.31011,0
8/6/01,0.83276,0,20,1219.14287,0
8/7/01,0.81529,0,18,1219.95816,0
8/8/01,0.81661,0,18,1220.77477,0
8/9/01,0.81038,0,18,1221.58515,0
8/10/01,0.83836,0,20,1222.42351,0
8/11/01,0.81944,0,18,1223.24295,0
8/12/01,0.80094,0,16,1224.04389,0
8/13/01,0.79306,0,17,1224.83695,0
8/14/01,0.78102,0,20,1225.61797,0
8/15/01,0.7654,0,15,1226.38337,0
8/16/01,0.82082,0,20,1227.20419,0
8/17/01,0.82452,0,20,1228.02871,0
8/18/01,0.82463,0,18,1228.85334,0
8/19/01,0.80452,0,18,1229.65786,0
8/20/01,0.79029,0,18,1230.44815,0
8/21/01,0.74057,0,18,1231.18872,0
8/22/01,0.75288,0,18,1231.9416,0
8/23/01,0.80604,0,16,1232.74764,0
8/24/01,0.83706,0,17,1233.5847,0
8/25/01,0.81764,0,16,1234.40234,0
8/26/01,0.81287,0,16,1235.21521,0
8/27/01,0.78399,0,18,1235.9992,0
8/28/01,0.79022,0,20,1236.78942,0
8/29/01,0.80666,0,18,1237.59608,0
8/30/01,0.80553,0,18,1238.40161,0
8/31/01,0.80773,0,20,1239.20934,0
9/1/01,0.80423,0,20,1240.01357,0
9/2/01,0.80486,0,20,1240.81843,0
9/3/01,0.79937,0,21,1241.6178,0
9/4/01,0.73984,0,21,1242.35764,0
9/5/01,0.81262,0,18,1243.17026,0
9/6/01,0.79186,0,19,1243.96212,0
9/7/01,0.79261,0,18,1244.75473,0
9/8/01,0.78592,0,18,1245.54065,0
9/9/01,0.78624,0,18,1246.32689,0
9/10/01,0.79084,0,20,1247.11773,0
9/11/01,0.79081,0,18,1247.90854,0
9/12/01,0.79096,0,19,1248.6995,0
9/13/01,0.78926,0,18,1249.48876,0
9/14/01,0.78774,0,17,1250.2765,0
9/15/01,0.78508,0,18,1251.06158,0
9/16/01,0.77772,0,18,1251.8393,0
9/17/01,0.77286,0,18,1252.61216,0
